"","Oxy4x_01","Oxy4x_02","Oxy4x_03","Oxy4x_04","Oxy4x_05","Oxy4x_06","Oxy4x_07","Oxy4x_08","Oxy4x_09","Oxy4x_10","Oxy4x_11","Oxy4x_12","Oxy4x_13","Oxy4x_14","Oxy4x_15","Oxy4x_16","Oxy4x_17","Oxy4x_18"
"chr01_023640129",4,4,4,4,3,4,2,1,2,2,3,4,3,4,4,3,3,4
"chr01_023651321",3,3,3,4,2,2,1,1,2,2,1,4,2,4,4,3,1,2
"chr01_023651350",4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_023761878",4,2,4,2,3,2,1,0,0,4,2,0,1,2,3,2,0,2
"chr01_023798068",2,4,2,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4
"chr01_023800643",3,4,2,4,3,3,4,4,4,2,3,4,4,4,3,4,4,4
"chr01_023800778",3,4,2,4,3,3,4,4,4,3,3,4,4,4,3,4,4,4
"chr01_024464273",4,4,4,4,3,2,2,4,4,2,0,4,4,4,3,4,2,4
"chr01_025103462",0,2,3,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0
"chr01_025472146",4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_026246387",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr01_026475375",1,1,3,3,1,1,1,2,0,1,0,0,1,1,2,3,1,3
"chr01_026475584",3,3,4,3,1,2,4,3,0,1,3,1,3,2,3,4,2,3
"chr01_026491587",2,2,2,4,4,4,2,4,4,4,4,3,4,4,4,4,3,4
"chr01_026549199",2,2,1,0,0,0,4,0,0,0,2,0,2,1,0,1,2,0
"chr01_027031610",2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_028062583",4,2,3,4,4,4,4,4,4,4,4,2,4,3,4,3,4,3
"chr01_028062629",4,0,2,4,3,4,2,4,2,3,2,0,3,3,3,4,2,4
"chr01_028912435",3,3,4,4,3,3,4,3,4,4,1,4,4,2,4,4,4,3
"chr01_029184283",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"chr01_029556091",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"chr01_029558344",4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
"chr01_029877717",0,2,0,0,1,0,1,2,0,0,4,2,4,2,0,0,3,1
"chr01_030316071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"chr01_030742341",0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4
"chr01_030742405",0,4,4,4,4,4,4,4,3,4,4,4,4,4,4,0,4,4
"chr01_030742444",0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_031352977",4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_031700541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"chr01_031794634",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
"chr01_032392319",3,2,2,4,2,0,3,3,3,3,3,3,2,4,2,4,4,2
"chr01_032392390",3,3,3,4,3,2,2,2,3,2,3,3,2,4,2,4,4,3
"chr01_032392487",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"chr01_033606040",4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4
"chr01_033767903",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr01_034832858",2,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,3,2
"chr01_035403686",3,3,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3
"chr01_035653398",0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"chr01_035653573",0,0,4,0,0,0,0,0,0,2,0,1,4,1,0,0,0,0
"chr01_036925504",3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4
"chr01_036941014",4,2,3,4,3,3,3,4,2,4,2,3,3,4,4,4,4,2
"chr01_037756444",2,4,3,1,4,3,4,4,0,4,3,3,3,0,3,3,1,3
"chr01_037876277",2,1,0,0,1,2,0,0,0,1,1,1,0,1,3,1,1,0
"chr01_039082143",2,2,0,0,2,0,2,2,0,0,2,3,2,0,0,2,3,1
"chr01_039082182",2,2,3,2,3,3,2,2,3,3,2,3,1,2,2,2,2,3
"chr01_039120985",0,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,2
"chr01_039308781",4,4,4,4,4,4,4,4,2,4,4,4,3,2,4,4,4,4
"chr01_040079858",3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4
"chr01_040303398",4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"chr01_040341049",0,2,2,1,1,2,2,1,2,2,1,1,0,0,2,2,2,1
"chr01_040348300",0,3,1,4,1,3,3,2,3,2,2,2,0,1,3,4,2,4
"chr01_040725824",4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,0
"chr01_040725903",2,3,4,0,2,3,2,2,4,4,4,1,0,0,4,4,4,4
"chr01_040791087",4,3,0,4,2,2,3,2,4,4,1,4,4,4,3,4,4,4
"chr01_041360992",0,1,3,0,1,1,1,1,0,0,3,0,0,0,1,1,0,1
"chr01_041564970",4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4
"chr01_041635548",4,4,4,4,2,4,1,0,4,0,3,3,3,3,2,4,2,3
"chr01_041658451",3,3,2,1,2,2,2,2,3,3,2,3,2,3,2,3,3,2
"chr01_042546361",2,0,1,0,1,1,0,1,1,0,0,1,0,0,2,3,0,0
"chr01_043321344",0,0,0,0,0,1,0,1,1,0,1,0,0,1,4,1,0,1
"chr01_043895404",0,1,2,3,3,2,3,1,4,1,1,2,2,3,0,4,1,4
"chr01_044261400",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr01_045320095",4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
"chr01_046041731",0,1,0,0,4,2,0,0,0,0,0,0,0,2,3,3,0,4
"chr01_046505152",1,2,1,0,2,2,3,4,2,2,2,4,2,2,1,1,3,1
"chr01_046505272",4,4,3,4,4,4,4,4,4,2,4,4,4,4,3,3,4,4
"chr01_046507151",4,4,3,4,4,4,4,4,4,2,4,4,4,4,3,3,4,4
"chr01_046890114",1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
"chr01_046952789",3,4,2,2,2,3,0,1,0,0,2,2,1,1,2,1,1,1
"chr01_047185671",0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0
"chr01_047188043",0,0,1,0,0,1,2,0,2,1,0,1,1,1,1,0,0,0
"chr01_047733281",4,4,4,4,3,4,3,4,4,4,3,3,3,4,4,4,4,4
"chr01_048995696",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr02_000342231",4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4
"chr02_000411350",0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"chr02_001457361",4,4,3,4,4,4,4,4,4,2,2,4,2,4,2,4,4,2
"chr02_001457415",4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,3
"chr02_002114419",4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
"chr02_002124059",4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
"chr02_002361795",4,4,4,3,4,4,4,2,4,4,1,4,2,4,3,3,3,3
"chr02_002765594",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr02_003090428",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr02_003262682",2,4,4,4,4,4,2,4,4,4,4,4,4,2,1,2,4,2
"chr02_004938348",2,4,2,4,4,2,4,4,3,4,4,4,4,4,4,4,3,3
"chr02_005031306",4,1,2,0,1,4,0,1,1,1,0,0,1,0,1,2,1,0
"chr02_005078769",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chr02_005083121",4,4,4,3,3,3,4,3,3,3,0,2,3,3,2,0,2,3
"chr02_005799327",3,1,1,0,4,4,4,2,4,0,2,2,4,2,2,2,0,4
"chr02_005799465",3,1,1,0,1,2,1,1,2,0,2,2,3,2,1,2,0,2
"chr02_005799490",4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr02_005955744",0,2,1,3,1,0,1,1,1,2,0,1,1,2,1,1,1,3
"chr02_005961316",4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4
"chr02_006320758",4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
"chr02_006322991",4,3,3,3,4,4,4,3,3,2,4,2,4,3,4,0,3,4
"chr02_006882335",4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4
"chr02_007188123",0,0,0,0,3,3,0,0,3,1,1,2,0,0,0,0,2,2
"chr02_007636084",2,4,2,1,1,3,1,3,4,1,2,1,1,2,3,4,2,1
"chr02_008073933",4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4
"chr02_008341392",0,1,3,4,1,4,4,4,3,4,3,4,4,4,4,4,4,4
"chr02_008410309",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0
"chr02_008699099",1,2,1,1,0,0,0,0,0,4,4,0,1,0,0,0,0,0
"chr02_008778693",3,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4
"chr02_008835784",3,2,2,3,4,2,3,2,4,3,3,2,2,2,2,2,3,2
"chr02_008835842",3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4
"chr02_008855143",3,2,4,4,2,3,4,4,4,3,2,4,3,4,4,4,3,4
"chr02_009166445",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr02_010178207",0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2
"chr02_010589532",4,3,4,3,4,4,4,2,4,2,4,4,4,4,3,2,4,4
"chr02_010927625",4,4,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4
"chr02_011263944",4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4
"chr02_011323538",4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4
"chr02_011409656",2,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1
"chr02_011741882",1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"chr02_011750556",4,4,4,4,0,4,4,2,2,4,4,4,4,4,4,4,4,4
"chr02_013727826",4,4,4,4,4,2,4,4,4,4,2,2,3,4,4,4,4,2
"chr02_013769419",0,0,0,0,0,1,0,0,0,0,2,1,1,0,2,0,0,2
"chr02_014716150",4,4,4,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4
"chr02_015414824",0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0
"chr02_016369950",4,4,4,4,4,4,4,1,4,4,4,0,4,4,4,4,4,4
"chr02_016562161",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr02_018887712",4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"chr02_021038347",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"chr02_021441855",0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"chr02_023441529",3,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4
"chr02_023916119",4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4
"chr02_024076170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"chr02_024888319",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"chr02_025844269",4,4,1,2,4,4,1,3,4,2,4,0,3,0,1,4,2,4
"chr02_026753556",4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4
"chr02_027020941",4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr02_028271554",4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4
"chr02_029437919",4,4,4,3,3,2,3,3,2,3,3,4,2,3,3,3,4,3
"chr02_029693120",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
"chr02_029807791",3,4,4,3,4,3,4,3,3,4,3,2,2,4,3,3,4,3
"chr02_030832430",3,4,4,4,3,4,3,3,4,3,4,4,4,2,4,4,2,4
"chr02_030966117",4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
"chr02_031848846",2,4,4,4,4,3,1,2,4,3,1,2,0,0,4,3,4,4
"chr02_032251451",0,0,0,0,0,0,1,2,2,1,1,0,1,3,0,1,0,0
"chr02_032894325",2,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr02_033791944",2,3,2,2,4,4,3,4,2,2,2,0,4,0,3,4,3,4
"chr02_033903550",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"chr02_033931247",1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,1
"chr02_034048173",3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,3
"chr02_034214976",4,2,1,4,1,1,2,1,2,4,4,4,4,3,1,3,2,0
"chr02_034662499",3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr02_034961557",4,4,4,4,4,4,4,2,3,4,4,3,4,0,4,1,4,2
"chr02_034961740",0,4,4,4,3,1,4,3,4,4,4,3,4,2,4,2,4,2
"chr02_035003827",4,3,2,3,4,3,4,1,3,3,4,3,4,3,4,3,1,3
"chr02_035003851",4,3,4,4,4,4,4,2,4,4,4,4,4,3,4,3,4,4
"chr02_035504039",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
"chr02_036143226",4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4
"chr02_036143301",3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"chr02_036582174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"chr02_037729930",4,4,4,4,3,3,4,4,4,4,3,4,2,4,4,4,1,4
"chr03_000059682",4,1,1,0,0,1,0,0,0,0,3,1,3,1,1,0,2,1
"chr03_000826444",3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3
"chr03_001346486",3,3,4,4,4,3,4,4,3,4,2,3,4,4,4,4,2,2
"chr03_001528328",1,4,0,4,0,1,0,0,2,0,0,1,1,4,0,0,0,2
"chr03_001632089",4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
"chr03_001960943",4,3,4,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4
"chr03_002448239",3,4,4,4,3,3,4,4,3,4,2,4,3,4,4,4,2,3
"chr03_003415470",2,4,3,4,4,4,4,3,3,4,3,3,2,3,4,4,4,4
"chr03_003440421",2,1,1,0,0,0,1,1,1,2,1,2,2,4,1,4,0,1
"chr03_003444121",0,4,4,4,4,4,4,4,2,4,0,4,0,3,4,4,4,4
"chr03_003977446",4,4,4,4,4,4,4,4,3,4,2,4,2,4,4,4,4,4
"chr03_004293528",1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"chr03_004818036",4,4,4,3,2,2,4,4,4,4,4,4,2,4,4,4,4,4
"chr03_004822657",3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,2
"chr03_005693184",4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4
"chr03_005693367",2,2,3,2,1,3,2,1,1,4,3,0,3,3,2,1,1,3
"chr03_006591500",4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
"chr03_007690352",4,4,4,4,4,2,4,3,3,4,3,4,4,3,3,4,4,4
"chr03_008002459",1,2,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0
"chr03_008002516",4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,0,4
"chr03_008805496",0,0,0,1,0,0,0,2,3,0,0,0,2,0,2,0,0,2
"chr03_010131436",2,4,1,1,3,2,3,4,3,3,2,2,1,3,4,2,3,2
"chr03_011013029",0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0
"chr03_011155236",0,4,4,4,4,4,0,4,4,1,4,4,4,4,0,4,4,3
"chr03_011612060",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr03_011934996",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"chr03_013008327",2,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2
"chr03_013511587",0,0,1,1,2,3,0,0,0,1,0,1,1,0,1,1,0,0
"chr03_014132286",4,4,4,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4
"chr03_014302649",0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0
"chr03_014476759",0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1
"chr03_015706835",1,3,3,1,2,1,3,3,4,2,4,2,4,2,3,2,4,2
"chr03_016612426",1,3,3,0,0,2,0,4,4,4,4,2,0,1,4,4,4,1
"chr03_017192073",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr03_017277730",0,0,0,0,1,3,0,1,1,1,0,1,0,0,0,1,1,0
"chr03_018227227",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr03_018730739",3,2,3,3,2,3,0,3,1,4,4,4,3,1,4,2,0,3
"chr03_018981987",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
"chr03_019062058",4,4,4,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4
"chr03_019590642",4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3
"chr03_020282880",4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4
"chr03_020339031",1,0,2,2,1,2,2,4,3,1,3,4,2,0,4,4,2,2
"chr03_020984675",2,1,4,1,4,4,0,2,0,0,4,4,0,2,4,3,4,0
"chr03_021606826",4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"chr03_022098058",3,3,3,3,3,4,4,2,3,4,4,4,4,3,3,2,3,3
"chr03_022852144",4,3,4,3,3,2,2,4,4,4,4,4,4,4,4,4,4,3
"chr03_023432708",3,4,3,4,3,2,2,3,4,3,4,4,4,2,4,3,2,3
"chr03_023451655",0,0,0,0,0,1,1,4,1,1,1,1,2,0,0,1,0,2
"chr03_024235625",4,3,3,2,3,4,3,3,2,4,4,4,4,3,3,2,4,3
"chr03_024235832",4,3,3,2,3,4,3,2,2,4,4,4,4,3,3,2,4,3
"chr03_024310225",0,0,1,0,0,0,0,0,1,0,1,0,3,1,0,0,0,1
"chr03_024644041",0,1,1,0,1,0,1,0,4,1,2,0,2,1,0,0,0,1
"chr03_025592266",2,0,2,2,1,3,0,1,0,0,2,4,0,3,4,1,1,1
"chr03_026322717",2,4,4,2,4,4,4,2,4,4,3,4,2,3,3,2,3,3
"chr03_026852215",0,1,1,1,2,2,0,1,2,1,0,1,0,1,1,1,2,1
"chr03_026866013",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"chr03_027132796",4,1,4,4,3,0,2,4,4,4,4,2,0,0,4,0,0,4
"chr03_027449581",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"chr03_027542326",4,2,2,3,4,2,3,2,4,2,1,4,2,1,4,2,4,4
"chr03_028181180",4,4,4,2,4,2,4,0,4,4,3,4,2,2,4,2,4,4
"chr03_028294150",2,2,2,2,2,1,2,2,1,1,2,3,2,3,2,0,3,3
"chr03_029282349",4,4,4,3,4,3,4,4,4,3,4,3,4,4,4,2,4,4
"chr03_029384806",0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4
"chr03_029581066",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"chr03_029640731",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4
"chr03_030502290",0,1,0,0,2,3,0,2,2,2,2,1,1,2,2,1,0,1
"chr03_031096283",4,0,0,1,0,0,4,4,0,0,2,1,0,0,0,0,4,4
"chr03_031426486",4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
"chr03_031426633",4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"chr03_031887928",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
"chr03_031887982",2,0,1,0,3,4,1,4,2,0,2,2,3,2,1,2,2,0
"chr03_031888055",3,0,2,0,4,4,3,4,2,0,3,3,3,3,3,3,3,1
"chr03_032155334",4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
"chr03_032155434",4,0,2,1,1,1,3,3,1,4,2,1,2,1,2,1,4,3
"chr03_032161138",2,0,2,4,0,0,4,4,1,0,2,0,2,4,1,2,0,4
"chr03_032346429",4,4,4,4,4,4,3,3,4,4,3,4,4,2,4,4,4,3
"chr03_032703445",2,2,4,3,4,4,2,3,4,4,3,4,3,4,4,4,4,4
"chr03_032935526",0,1,1,1,1,1,1,0,1,1,1,0,0,3,1,0,0,1
"chr03_033702179",1,2,4,0,0,0,0,4,4,0,0,2,0,0,4,4,4,4
"chr03_033827450",4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,0
"chr03_034448315",1,1,1,0,2,3,3,0,3,2,1,1,2,4,3,0,2,3
"chr03_035013866",4,2,4,2,2,3,3,2,1,4,3,3,3,3,3,2,2,3
"chr03_035108771",0,0,0,0,1,1,1,0,0,1,0,1,0,3,0,1,1,1
